Nafn,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,total_points
Guðjón Ólafsson,100,23.53,100,3.13,100,12.17,100,0.0,400
Vignir Bjarnason,90,59.59,90,4.35,90,17.36,100,0.0,370
