Nafn,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,workout5_points,workout5_score,workout6_points,workout6_score,total_points
Helga Guðmundsdóttir,100,25.4,100,3.43,100,11.42,100,1.0,100,8.04,90,8.14,590
E. Linda Helgadóttir,90,26.28,90,4.06,90,12.56,90,2.0,90,8.19,100,8.04,550
Anja Karlsdóttir,80,27.51,80,5.05,80,16.19,80,3.0,80,8.42,80,8.33,480
