Nafn,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,workout5_points,workout5_score,workout6_points,workout6_score,total_points
Alma Káradóttir,100,24.16,100,3.26,100,9.57,90,2.0,100,5.53,100,5.29,590
Kristín Sif Björgvinsdóttir,60,30.12,90,3.52,90,13.3,100,1.0,70,8.35,90,7.37,500
Hildur Guðný Káradóttir,90,25.15,80,3.54,80,14.17,60,5.0,80,8.18,70,8.06,460
Bjarný Þorvarðardóttir,80,26.28,70,4.11,60,15.16,80,3.0,90,8.13,80,8.05,460
Erla Júlía Jónsdóttir,70,26.4,60,4.26,70,15.14,70,4.0,60,8.42,60,8.56,390
