Nafn,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,workout5_points,workout5_score,workout6_points,workout6_score,total_points
Bergrós Björnsdóttir,80,29.47,100,3.22,100,7.51,90,1.0,90,1.44,90,2.35,550
Emilía Nótt Davíðsdóttir,90,26.16,80,4.18,90,13.57,80,2.0,80,3.3,70,5.07,490
Hulda Finnbogadóttir,100,24.55,90,3.54,80,15.16,70,3.0,70,4.07,80,4.48,490
Ísabella Ýr Pétursdóttir,70,29.52,70,6.21,70,59.59,0,0.0,0,0.0,0,0.0,210
