Nafn,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,workout5_points,workout5_score,workout6_points,workout6_score,total_points
Guðjón Arinbjörnsson,100,24.32,100,3.59,80,16.06,90,2.0,100,8.02,100,5.04,570
Heiðar Örn sverrisson,90,27.34,90,4.19,100,12.38,80,3.0,90,8.34,80,7.52,530
Sæmundur Árnason,80,30.54,80,4.27,90,13.28,100,1.0,80,8.35,90,6.25,520
