Nafn,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,workout5_points,workout5_score,workout6_points,workout6_score,total_points
Jón Þorri Jónsson,90,24.3,90,3.39,100,8.17,100,1.0,90,6.03,90,4.28,560
Haukur Rafn Sigurðsson,100,23.38,100,3.14,90,10.11,80,3.0,80,6.26,80,4.56,530
Aron Leó Jóhannson,80,27.15,80,3.52,80,13.14,90,2.0,0,0.0,0,0.0,330
