Nafn,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,workout5_points,workout5_score,workout6_points,workout6_score,total_points
Þórkatla Ýr Friðriksdóttir,100,26.33,90,3.38,100,10.52,90,2.0,100,6.17,100,6.25,580
Úlfhildur Unnarsdóttir,50,29.59,80,3.39,80,13.39,100,1.0,90,6.48,90,7.53,490
Thelma Ósk Björgvinsdóttir,70,28.05,100,3.33,90,13.15,60,5.0,70,8.06,70,8.02,460
Elísa Mist Benediktsdóttir,90,26.35,60,4.03,70,14.39,70,4.0,50,8.42,80,7.57,420
Salka Katrínsdóttir,80,26.37,70,3.45,60,15.21,80,3.0,60,8.38,50,8.2,400
Steinunn Soffía Hauksdóttir,60,28.35,50,4.14,50,16.19,50,6.0,80,7.5,60,8.09,350
