Nafn,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,workout5_points,workout5_score,workout6_points,workout6_score,total_points
Ægir Reynisson,100,23.21,100,3.15,100,12.23,70,4.0,100,4.5,100,5.38,570
Evert Víglundsson,90,23.24,70,3.23,90,13.01,80,3.0,90,5.45,80,7.22,500
Elías Árni Jónsson,80,24.37,80,3.2,80,13.37,90,2.0,70,8.08,90,6.44,490
Magnús Gíslason,70,24.45,90,3.17,70,15.18,60,5.0,80,7.07,60,7.51,430
Steinar Sigurðarson,50,29.3,50,3.43,60,16.26,100,1.0,60,8.15,70,7.41,390
Sigtryggur Símonarson,60,25.51,60,3.32,50,16.34,50,6.0,50,8.39,50,8.09,320
